,State,County,latitude,longitude
17308,MS,Forrest,31.31,-89.3
17309,MS,Lamar,31.31,-89.3
17314,MS,Jefferson Davis,31.49,-89.74
17316,MS,Perry,31.17,-88.92
17318,MS,Pearl River,30.6,-89.56
17321,MS,Marion,31.25,-89.82
17322,MS,Jones,31.47,-89.23
17330,MS,George,30.92,-88.59
17347,MS,Walthall,31.03,-89.8
17353,MS,Harrison,30.38,-89.06
17359,MS,Hancock,30.32,-89.51
17371,MS,Jackson,30.48,-88.55
17377,MS,Stone,30.69,-89.18
17394,MS,Lincoln,31.58,-90.44
17398,MS,Franklin,31.46,-90.85
17399,MS,Wilkinson,31.08,-91.06
17400,MS,Pike,31.1,-90.52
17403,MS,Amite,31.19,-91.01
17424,MS,Lowndes,33.5,-88.4
17431,MS,Choctaw,33.31,-89.17
17436,MS,Clay,33.61,-88.84
17449,MS,Oktibbeha,33.45,-88.82
17459,GA,Calhoun,31.41,-84.69
17460,GA,Decatur,30.74,-84.47
17464,GA,Early,31.33,-84.94
17465,GA,Clay,31.55,-84.86
17467,GA,Terrell,31.82,-84.32
17468,GA,Grady,30.97,-84.2
17473,GA,Randolph,31.66,-84.87
17474,GA,Miller,31.15,-84.67
17478,GA,Seminole,31.04,-84.87
17482,GA,Quitman,31.85,-85.04
17488,GA,Baker,31.3,-84.37
17494,KY,Shelby,38.26,-85.05
17495,KY,Nelson,37.81,-85.46
17496,KY,Trimble,38.59,-85.31
17497,KY,Henry,38.4,-85.06
17499,KY,Marion,37.49,-85.14
17500,KY,Oldham,38.38,-85.43
17505,KY,Jefferson,38.25,-85.48
17509,KY,Spencer,38.16,-85.42
17518,KY,Washington,37.73,-85.06
17522,KY,Bullitt,38.04,-85.55
17548,KY,Meade,38.06,-86.3
17553,KY,Breckinridge,37.83,-86.62
17557,KY,Grayson,37.6,-86.55
17558,KY,Hardin,37.89,-85.96
17649,KY,Mercer,37.75,-84.76
17650,KY,Nicholas,38.31,-84.03
17651,KY,Powell,37.86,-83.92
17652,KY,Rowan,38.16,-83.43
17653,KY,Menifee,37.91,-83.53
17657,KY,Scott,38.2,-84.55
17660,KY,Bath,38.01,-83.77
17661,KY,Estill,37.69,-83.96
17662,KY,Montgomery,37.96,-83.82
17663,KY,Jessamine,37.93,-84.63
17665,KY,Anderson,38.03,-84.89
17667,KY,Woodford,38.14,-84.68
17668,KY,Bourbon,38.3,-84.14
17672,KY,Owen,38.62,-84.89
17691,KY,Madison,37.73,-84.15
17695,KY,Clark,37.99,-84.18
17697,KY,Jackson,37.32,-83.96
17701,KY,Rockcastle,37.4,-84.41
17702,KY,Garrard,37.71,-84.65
17703,KY,Lincoln,37.46,-84.5
17704,KY,Boyle,37.64,-84.77
17707,KY,Casey,37.47,-84.81
17732,KY,Fayette,38.04,-84.45
17771,KY,Franklin,38.19,-84.86
17780,KY,Whitley,36.93,-84.1
17782,KY,Laurel,37.09,-83.87
17785,KY,Knox,36.94,-84
17799,KY,Harlan,36.83,-83.25
