fips,year,Pill_per_pop
1105,2009,16.6198896061371
1105,2010,15.9621864470236
1105,2011,19.6977401129943
1105,2012,21.884085510688802
1107,2006,15.9727742448331
1107,2007,23.042173195257398
1107,2008,28.304846874843395
1107,2009,28.580499795165895
1107,2010,29.2935683084802
1107,2011,34.269162661269895
1107,2012,42.2233533543724
1109,2006,24.2767255421764
1109,2007,32.1696420137905
1109,2008,37.1271268157641
1109,2009,45.26612689142551
1109,2010,44.4060098920584
1109,2011,51.4271195836285
1109,2012,52.181068702290105
1111,2006,29.411324080193896
1111,2007,34.4157620686612
1111,2008,37.238734419942496
1111,2009,42.561766797013895
1111,2010,45.3709953105141
1111,2011,54.1886329801209
1111,2012,58.2230880357221
1113,2006,38.7716760141897
1113,2007,44.7313701687747
1113,2008,50.696037640471296
1113,2009,56.01211297447479
1113,2010,54.3975378897857
1113,2011,65.8272051819394
1113,2012,70.78571693425779
1115,2006,29.234542055090298
1115,2007,32.2486389070928
1115,2008,36.6789579306354
1115,2009,39.1988786492234
1115,2010,39.9993800986883
1115,2011,46.686133336571
1115,2012,50.0061055908057
1117,2006,34.5693884511941
1117,2007,37.23405507627079
1117,2008,39.2040374680429
1117,2009,43.438709042820605
1117,2010,44.5244837130083
1117,2011,50.04319136172771
1117,2012,52.239227195664796
1119,2006,9.640799487872538
1119,2007,14.0830101967543
1119,2008,17.0667050857225
1119,2009,20.4718474410191
1119,2010,23.6357148006633
1119,2011,28.689489751417398
1119,2012,29.5522715633916
1121,2006,36.2631264407069
1121,2007,46.04820859582129
1121,2008,50.302411313229
1121,2009,59.6399176954733
1121,2010,63.4944806732486
1121,2011,71.8092749042728
1121,2012,74.39581964620291
1123,2006,25.330116625851698
1123,2007,30.9042835756025
1123,2008,33.770039358740505
1123,2009,37.3478346167051
1123,2010,38.2563682765927
1123,2011,44.732782236747205
1123,2012,49.2663841671883
1125,2006,28.052463571558498
1125,2007,32.0361269324654
1125,2008,34.9453727677266
1125,2009,39.7485930384775
1125,2010,38.742586191333295
1125,2011,42.498211385510395
1125,2012,50.1234981004252
1127,2006,112.165635899991
1127,2007,117.33289016914101
1127,2008,136.614432077836
1127,2009,141.925087108014
1127,2010,150.28357392178899
1127,2011,159.216883579961
1127,2012,162.715620150412
1129,2006,7.708556904829139
1129,2007,7.83831684866503
1129,2008,8.653406492912671
1129,2009,8.81942830583314
1129,2010,9.767600820232401
1129,2011,9.791273517470119
1129,2012,10.851956109611098
1131,2006,6.71958104901399
1131,2007,9.62893184796854
1131,2008,11.1952584787619
1131,2009,12.4282982791587
1131,2010,12.7897102897103
1131,2011,13.5997302309897
1131,2012,15.4194430206732
1133,2006,60.239151476044505
1133,2007,70.39142328425459
1133,2008,78.4798752834467
1133,2009,88.6508061182307
1133,2010,91.2314173451614
1133,2011,100.78331232464501
1133,2012,101.56151768172899
5001,2006,38.1253474854688
5001,2007,44.1072347432335
5001,2008,48.819195849546006
5001,2009,52.5143151921589
5001,2010,58.6491382433621
5001,2011,61.28747519064029
5001,2012,62.463608176993
5003,2006,29.8204524243367
5003,2007,34.5386657069594
